             t,             x,             y,             z,       particle
   0.0901126408,   -7.286868414,   -17.75677576,    4.434761525,              9
   0.1001251564,   -8.333859149,   -19.56155862,    5.465078411,              9
   0.1101376721,   -9.456629095,   -21.53502984,    6.749595253,              9
   0.1201501877,   -10.66446917,   -23.63877903,    8.334178678,              9
   0.1301627034,   -11.96190016,   -25.81690777,    10.26804681,              9
    0.140175219,   -13.34740092,   -27.99013975,    12.60055439,              9
   0.1501877347,    -14.8116748,   -30.05042829,      15.376073,              9
   0.1602002503,   -16.33555015,   -31.85748995,    18.62651554,              9
    0.170212766,   -17.88774413,     -33.239387,    22.36130694,              9
   0.1802252816,   -19.42290842,   -33.99976035,    26.55513898,              9
   0.1902377972,   -20.88059361,   -33.93410412,    31.13474235,              9
   0.2002503129,   -22.18594466,   -32.85604101,    35.96714368,              9
   0.2102628285,    -23.2529543,   -30.63165189,    40.85323956,              9
   0.2202753442,   -23.99082406,   -27.21603222,    45.53151241,              9
   0.2302878598,   -24.31334487,   -22.68284291,     49.6965233,              9
   0.2403003755,   -24.15029468,    -17.2366129,    53.03452122,              9
   0.2503128911,    -23.4589265,   -11.20021295,     55.2736202,              9
   0.2603254068,   -22.23305514,   -4.975935517,    56.23925951,              9
   0.2703379224,   -20.50734318,     1.01386873,    55.89958834,              9
    0.280350438,   -18.35522199,    6.393992862,    54.38381109,              9
   0.2903629537,    -15.8803005,    10.89498503,    51.96255285,              9
   0.3003754693,   -13.20277195,     14.3873637,    48.99263117,              9
    0.310387985,   -10.44375839,    16.88201197,    45.84363337,              9
